基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立时间,自定义,手续费
210009,金鹰核心资源混合,2021-09-07,1.6190,1.7190,0.87,1.31,2.02,23.68,34.69,14.26,84.82,96.96,33.47,77.23,2012-05-23,11.5738,1.50%
006266,永赢智能领先混合A,2021-09-07,3.0234,3.0234,1.08,-1.96,-4.55,16.66,34.69,66,163.98,,24.90,202.34,2019-03-26,59.6607,1.50%
003985,嘉实新能源新材料股票C,2021-09-07,3.6155,3.6155,3.46,2.78,-0.16,22.12,34.62,80.14,193.70,339.68,29.82,261.55,2017-03-16,69.3024,
001056,北信瑞丰健康生活,2021-09-07,1.8430,1.8430,1.15,-2.12,4.18,29.61,34.62,49.96,105.69,135.08,35.12,84.30,2015-03-27,44.9146,1.50%
010629,广发可转债债券E,2021-09-07,2.0362,2.0362,2.23,3.33,12.35,25.39,34.61,,,,37.21,46.35,2020-11-13,41.184504,
002844,金鹰多元策略混合,2021-09-07,2.6855,2.6855,2.39,2.34,6.29,18.11,34.60,72.63,127.08,194.46,38.91,168.55,2016-08-09,65.8524,1.50%
006269,永赢智能领先混合C,2021-09-07,3.0032,3.0032,1.08,-1.97,-4.56,16.60,34.56,65.68,162.68,,24.73,200.32,2019-03-26,59.3535,
006324,合煦智远嘉选混合C,2021-09-07,2.2758,2.3858,1.68,2.84,9.02,27.82,34.55,65.68,127,,29.62,147.22,2018-09-18,61.4228,
920923,中金新锐股票C,2021-09-07,4.1740,4.1740,2.51,4.43,12.62,22.22,34.54,59.05,,,39.33,99.57,2020-04-07,52.4407,
006483,广发可转债债券C,2021-09-07,2.0640,2.0640,2.23,3.33,12.33,25.33,34.47,47.59,86.40,,37.06,106.38,2018-11-02,42.3811,
001716,工银新趋势灵活配置混合A,2021-09-07,4.0310,4.0310,1.56,-2.75,0.32,26.96,34.46,76.72,213.45,272.21,32.95,303.10,2015-12-15,72.6436,1.50%
004344,南方大数据100C,2021-09-07,1.2958,1.2958,3.31,0.65,8.03,24.79,34.42,35.71,101.09,101.84,30.97,42.98,2017-02-23,30.2367,
005570,中融智选红利股票C,2021-09-07,1.9271,1.9271,2.19,-1.10,7.88,23.79,34.40,48.43,82.27,117.63,36.81,92.71,2018-03-30,43.7572,
003980,中银证券瑞益灵活配置混合A,2021-09-07,2.5070,2.5070,3.42,5.17,4.86,13.44,34.37,58.82,114.75,157.84,29.22,150.70,2017-01-25,51.3209,1.00%
005876,易方达鑫转增利混合A,2021-09-07,2.1923,2.1923,2.26,3.15,9.31,28.34,34.35,50.02,104.70,,31.88,119.23,2018-11-07,45.8701,1.00%
001167,金鹰科技创新股票,2021-09-07,1.4480,1.4480,0.91,1.47,1.61,20.77,34.32,51.78,118.07,142.95,29.87,44.80,2015-04-30,48.0084,1.50%
004557,北信瑞丰鼎丰灵活配置混合,2021-09-07,1.6979,1.6979,3.25,-0.58,3.71,31.61,34.31,57.53,,,28.09,69.79,2019-11-13,53.8875,1.50%
006551,中庚价值领航混合,2021-09-07,2.2851,2.2851,2.39,6.31,15.78,29.95,34.21,31.51,76.09,,39.09,128.51,2018-12-19,26.8474,1.50%
000612,华宝生态中国混合,2021-09-07,4.5090,4.7090,1.60,0.69,4.84,27.19,34.20,49.40,117.93,173.44,33.01,384.08,2014-06-13,44.6985,1.50%
006392,中信保诚创新成长混合,2021-09-07,3.5924,3.5924,1.58,0.44,0.70,19.15,34.09,69.59,224.17,,42,259.24,2019-01-30,63.2960,1.50%
003981,中银证券瑞益灵活配置混合C,2021-09-07,2.4606,2.4606,3.42,5.16,4.81,13.30,34.03,58.50,113.61,155.28,28.82,146.06,2017-01-25,51.0242,
001997,工银新趋势灵活配置混合C,2021-09-07,3.7540,3.7540,1.54,-2.77,0.27,26.78,34.02,75.67,209.48,265.18,32.37,275.40,2015-12-15,71.6425,
660015,农银行业轮动混合,2021-09-07,7.3151,7.4151,2.68,-1.55,0.70,22.01,33.94,50.56,138.88,187.13,28.13,691.67,2012-11-14,44.8595,1.50%
005877,易方达鑫转增利混合C,2021-09-07,2.1537,2.1537,2.26,3.14,9.25,28.15,33.94,49.12,102.26,,31.35,115.37,2018-11-07,44.9976,
007713,华富科技动能混合,2021-09-07,1.5116,1.5616,0.70,-2.46,-2.87,23.39,33.94,21.11,,,18.76,57.30,2019-11-06,18.6764,1.50%
610002,信达澳银精华配置混合A,2021-09-07,1.4020,3.7180,1.30,-0.85,-1.06,24.70,33.86,37.29,106.06,207.51,29.48,652.42,2008-07-30,33.4687,1.50%
288001,华夏经典混合,2021-09-07,2.5160,4.9060,1.53,-0.67,9.77,20.61,33.83,60.36,129.98,174.37,39.86,1046.70,2004-03-15,57.6800,1.50%
206012,鹏华价值精选股票,2021-09-07,3.77,3.77,3.09,-1.64,3.94,30.18,33.83,51.41,175.58,251.35,28.93,277,2012-04-16,47.1486,1.50%
006593,博道中证500增强A,2021-09-07,2.3789,2.4789,2.73,2.51,10.64,19.37,33.82,44.68,109.28,,40.95,158.96,2019-01-03,39.4089,1.20%
007590,华宝绿色领先股票,2021-09-07,1.8617,1.8617,2.08,1.48,1.57,32.05,33.75,48.65,,,33.06,86.17,2019-09-18,43.6682,1.50%
010460,兴业研究精选混合,2021-09-07,1.4978,1.4978,0.41,0.22,0.54,16.18,33.64,,,,35.99,49.78,2020-11-25,46.16,1.50%
006594,博道中证500增强C,2021-09-07,2.3599,2.4599,2.73,2.51,10.61,19.28,33.62,44.26,108.03,,40.66,156.91,2019-01-03,39.0060,
001457,华商新常态混合,2021-09-07,1.4870,2.23,2.76,0.07,1.43,18.54,33.59,65.61,167.85,229.37,33.42,167.71,2015-06-29,58.9252,1.50%
004205,东方支柱产业灵活配置混合,2021-09-07,1.3671,1.3671,2.44,-2.03,6.08,24.27,33.47,75.38,83.48,64.57,47.56,36.71,2017-05-24,69.5446,1.50%
002213,中海顺鑫灵活配置混合,2021-09-07,2.8040,2.8370,1.46,-3.78,-5.84,24.71,33.34,55.30,172.97,213.96,32.08,189.65,2015-12-30,50.9111,0.80%
005313,万家中证1000指数增强A,2021-09-07,1.3262,1.9621,2.70,2.03,8.25,20.09,33.34,30.33,83.82,126.67,28.57,128.61,2018-01-30,25.0423,1.50%
009347,中融价值成长6个月持有混合A,2021-09-07,1.3363,1.3363,2.15,-1.57,5.72,20.26,33.26,37.61,,,28.18,33.63,2020-08-05,,1.50%
005381,泰康睿利量化多策略混合A,2021-09-07,1.9621,1.9621,3.51,-0.63,6.58,27.65,33.25,43.09,107.59,146.06,33.44,96.21,2018-02-06,37.5802,1.50%
009049,易方达高端制造混合,2021-09-07,2.1294,2.1294,1.53,-2.18,3.39,35.34,33.25,72.14,,,35.72,112.94,2020-03-16,68.8601,1.50%
210005,金鹰主题优势混合,2021-09-07,2.7120,2.7120,2.53,-2.41,-0.70,23.84,33.20,38.37,87.55,176.45,21.23,171.20,2010-12-20,34.4388,1.50%
001924,华夏国企改革混合,2021-09-07,2.1270,2.1270,2.36,-3.58,-1.48,21.06,33.19,55.26,132.97,169.92,19.76,112.70,2015-11-25,50.2190,1.50%
003670,中融物联网主题灵活配置混合,2021-09-07,2.0568,2.0568,1.25,-1.18,9.18,29.36,33.13,52.03,143.49,141.15,30.33,105.68,2017-02-27,51.4746,1.50%
005314,万家中证1000指数增强C,2021-09-07,1.3267,1.9364,2.70,2.02,8.21,19.98,33.07,29.78,82.24,124.53,28.22,124.06,2018-01-30,24.5280,
502000,西部利得中证500指数增强A,2021-09-07,1.9893,1.2590,2.29,2.93,9.27,20.96,32.91,51.38,118.61,165.33,36.52,36.08,2015-04-15,46.1532,1.00%
006401,先锋量化优选混合A,2021-09-07,1.9160,89.5508,2.21,0.84,5.29,19.85,32.82,49.02,84.53,,36.77,8855.08,2019-05-15,43.8594,1.50%
481015,工银主题策略混合A,2021-09-07,5.8130,5.8130,2.63,-3.21,-2.01,24.50,32.75,65.99,192.26,262.86,20,481.30,2011-10-24,58.1382,1.50%
020022,国泰策略价值灵活配置混合,2021-09-07,2.8540,2.8540,1.21,-4.64,-0.31,24.41,32.74,40.45,75.09,127.23,32.25,230.56,2011-04-19,36.7618,1.20%
009348,中融价值成长6个月持有混合C,2021-09-07,1.3247,1.3247,2.15,-1.58,5.65,20.02,32.71,36.50,,,27.49,32.47,2020-08-05,,
006568,国联安行业领先混合,2021-09-07,2.5279,2.5279,2.52,-3.32,5.26,22.28,32.68,46.54,131.85,,29.68,152.79,2018-12-13,41.2232,1.50%
377240,上投摩根新兴动力混合A,2021-09-07,7.9030,7.9030,3.40,0.38,5.02,24.81,32.67,58.28,170.74,245.71,37.28,690.30,2011-07-13,54.0557,1.50%
